Nomor,Operasi,Volume (MB),Client Workers,Server Workers,Waktu Avg (s),Throughput Avg (B/s),Client Sukses,Client Gagal
1,upload,10,1,1,0.6937,15849112562573.85,1,0
2,download,10,1,1,0.4272,25737856805996.84,1,0
3,upload,10,5,1,2.2900,4945665593992.65,5,0
4,download,10,5,1,0.8902,13685609334502.72,5,0
5,upload,10,50,1,9.5592,1204726778605.21,50,0
6,download,10,50,1,6.7430,2906724624013.18,50,0
7,upload,50,1,1,2.2669,24251361857306.40,1,0
8,download,50,1,1,1.5192,36186127516506.83,1,0
9,upload,50,5,1,9.0525,6153451390292.72,5,0
10,download,50,5,1,5.7270,11237241271153.25,5,0
11,upload,50,50,1,ERROR,0,0,50
12,download,50,50,1,37.1551,1985355193996.99,48,2
13,upload,100,1,1,13.3923,8210038510100.90,1,0
14,download,100,1,1,4.5268,24288705232899.55,1,0
15,upload,100,5,1,37.9873,2899381535512.49,5,0
16,download,100,5,1,13.4168,9515911089004.97,5,0
17,upload,100,50,1,ERROR,0,0,50
18,download,100,50,1,95.6341,1926083056395.07,50,0
19,upload,10,1,5,0.6934,15857139924124.64,1,0
20,download,10,1,5,0.3392,32412385146269.00,1,0
21,upload,10,5,5,1.2244,9069628049432.48,5,0
22,download,10,5,5,0.8280,14967988312856.68,5,0
23,upload,10,50,5,10.2105,1099202455990.53,50,0
24,download,10,50,5,8.2076,1978545806554.93,50,0
25,upload,50,1,5,2.4406,22525516908023.54,1,0
26,download,50,1,5,1.6319,33687618098607.62,1,0
27,upload,50,5,5,9.4839,5830483617609.73,5,0
28,download,50,5,5,4.9175,12457721317450.37,5,0
29,upload,50,50,5,ERROR,0,0,50
30,download,50,50,5,43.2382,1748935197886.83,50,0
31,upload,100,1,5,7.8354,14032554329802.96,1,0
32,download,100,1,5,7.8726,13966324325361.64,1,0
33,upload,100,5,5,46.3181,2377302378753.52,5,0
34,download,100,5,5,18.2439,6587603757320.79,5,0
35,upload,100,50,5,ERROR,0,0,50
36,download,100,50,5,20.4726,5370660386433.43,1,49
37,upload,10,1,50,0.6554,16777265252097.71,1,0
38,download,10,1,50,0.5472,20093406798183.40,1,0
39,upload,10,5,50,1.6103,6890111505271.75,5,0
40,download,10,5,50,1.2985,9399087139540.85,5,0
41,upload,10,50,50,19.5182,574757512750.89,50,0
42,download,10,50,50,11.4594,1302864373723.99,50,0
43,upload,50,1,50,2.7368,20087406283288.42,1,0
44,download,50,1,50,1.9840,27710109557486.46,1,0
45,upload,50,5,50,10.4412,5330851660720.52,5,0
46,download,50,5,50,6.7913,8700643224514.39,5,0
47,upload,50,50,50,ERROR,0,0,50
48,download,50,50,50,ERROR,0,0,50
49,upload,100,1,50,ERROR,0,0,1
50,download,100,1,50,ERROR,0,0,1
51,upload,100,5,50,ERROR,0,0,5
52,download,100,5,50,ERROR,0,0,5
53,upload,100,50,50,ERROR,0,0,50
54,download,100,50,50,ERROR,0,0,50
